"PAT_ZIP_5CHAR","CITY","STABR","COUNTY_FIPS","COUNTY_NAME"
"00601","Adjuntas","PR","72001","Adjuntas"
"00602","Aguada","PR","72003","Aguada"
"00603","Aguadilla","PR","72005","Aguadilla"
"00606","Maricao","PR","72093","Maricao"
"00610","Anasco","PR","72011","Añasco"
"00611","Angeles","PR","72141","Utuado"
"00612","Arecibo","PR","72013","Arecibo"
"00616","Bajadero","PR","72013","Arecibo"
"00617","Barceloneta","PR","72017","Barceloneta"
"00622","Boqueron","PR","72023","Cabo Rojo"
"00623","Cabo Rojo","PR","72023","Cabo Rojo"
"00624","Penuelas","PR","72111","Peñuelas"
"00627","Camuy","PR","72027","Camuy"
"00631","Castaner","PR","72081","Lares"
"00637","Sabana Grande","PR","72121","Sabana Grande"
"00638","Ciales","PR","72039","Ciales"
"00641","Utuado","PR","72141","Utuado"
"00646","Dorado","PR","72051","Dorado"
"00647","Ensenada","PR","72055","Guánica"
"00650","Florida","PR","72054","Florida"
"00652","Garrochales","PR","72013","Arecibo"
"00653","Guanica","PR","72055","Guánica"
"00656","Guayanilla","PR","72059","Guayanilla"
"00659","Hatillo","PR","72065","Hatillo"
"00660","Hormigueros","PR","72067","Hormigueros"
"00662","Isabela","PR","72071","Isabela"
"00664","Jayuya","PR","72073","Jayuya"
"00667","Lajas","PR","72079","Lajas"
"00669","Lares","PR","72081","Lares"
"00670","Las Marias","PR","72083","Las Marías"
"00674","Manati","PR","72091","Manatí"
"00676","Moca","PR","72099","Moca"
"00677","Rincon","PR","72117","Rincón"
"00678","Quebradillas","PR","72115","Quebradillas"
"00680","Mayaguez","PR","72097","Mayagüez"
"00682","Mayaguez","PR","72097","Mayagüez"
"00683","San German","PR","72125","San Germán"
"00685","San Sebastian","PR","72131","San Sebastián"
"00687","Morovis","PR","72101","Morovis"
"00688","Sabana Hoyos","PR","72013","Arecibo"
"00690","San Antonio","PR","72005","Aguadilla"
"00692","Vega Alta","PR","72143","Vega Alta"
"00693","Vega Baja","PR","72145","Vega Baja"
"00694","Vega Baja","PR","72145","Vega Baja"
"00698","Yauco","PR","72153","Yauco"
"00703","Aguas Buenas","PR","72007","Aguas Buenas"
"00704","Aguirre","PR","72123","Salinas"
